SKU,Venta,Categoría,Producto,Cantidad,Precio,Fecha,Tienda,Total
N.P. GSP-15AP,Store Pickup,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",3,"$2,877.22 ",10-may-19,Queretaro,"$8,631.67 "
N.P. GSB-011,Fisico,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,1,"$1,133.64 ",09-jul-19,Puebla,"$1,133.64 "
N.P. 3MARMPRB.0001,Fisico,Otros,Silla Deportiva COUGAR Gaming ARMOR Pro Negro 3MARMPRB.0001,3,"$5,111.42 ",13-dic-19,Puebla,"$15,334.27 "
N.P. GCV-003,Fisico,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,1,$337.05 ,14-abr-19,CDMX,$337.05 
N.P. DIR-878,Store Pickup,Conectividad,Router D-Link DIR-878 Wireless-AC1900 Dual Banda 2.4GHz / 5Ghz 1900Mb/s WiFi 1x Wan 4x Lan DIR-878,1,"$3,305.54 ",20-sep-19,Yucatan,"$3,305.54 "
N.P. GAC-169,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,5,$94.70 ,28-sep-19,Quintana Roo,$473.51 
N.P. X299X AORUS MASTER,Store Pickup,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,5,"$9,562.62 ",21-ago-19,Quintana Roo,"$47,813.10 "
N.P. GAC-084,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Negro / Rojo GAC-084,5,$35.47 ,22-may-19,Chihuahua,$177.37 
N.P. GAC-122,Store Pickup,Energía,"Batería Portátil GHIA GAC-122 10,050mAH 2x USB Negro GAC-122",1,$384.96 ,13-abr-19,Jalisco,$384.96 
N.P. GSB-011,Fisico,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,3,"$1,157.76 ",14-abr-19,Puebla,"$3,473.28 "
N.P. 100-100000011WOF,Store Pickup,Componentes,Procesador AMD RYZEN Threadripper 3970X 3.7GHz 24 núcleos Socket sTRX4 Sin Disipador 100-100000011WOF,2,"$43,983.42 ",09-jun-19,Jalisco,"$87,966.84 "
N.P. DIR-878,En linea,Conectividad,Router D-Link DIR-878 Wireless-AC1900 Dual Banda 2.4GHz / 5Ghz 1900Mb/s WiFi 1x Wan 4x Lan DIR-878,4,"$3,432.67 ",07-mar-19,Puebla,"$13,730.69 "
N.P. U2000,Store Pickup,Otros,Kit de Teclado y Mouse ASUS U2000 Estándar Negro U2000,5,$346.50 ,30-nov-19,Puebla,"$1,732.50 "
N.P. U2000,Fisico,Otros,Kit de Teclado y Mouse ASUS U2000 Estándar Negro U2000,1,$310.20 ,23-oct-19,Quintana Roo,$310.20 
N.P. X299X DESIGNARE 10G,Fisico,Componentes,Motherboard Gigabyte X299X DESIGNARE 10G Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X DESIGNARE 10G,5,"$14,207.80 ",18-mar-19,Nuevo Leon,"$71,038.98 "
N.P. 3MARMPRB.0001,Store Pickup,Otros,Silla Deportiva COUGAR Gaming ARMOR Pro Negro 3MARMPRB.0001,3,"$4,922.11 ",11-sep-19,Yucatan,"$14,766.34 "
N.P. X299X AORUS MASTER,En linea,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,5,"$10,681.65 ",15-jun-19,CDMX,"$53,408.25 "
N.P. GP-GSM2NE3512GNTD,Fisico,Almacenamiento,Unidad de estado sólido SSD GIGABYTE GP-GSM2NE3512GNTD NVMe 512GB PCIe Gen3x4 M.2 2280 NVMe 2280 Read 1700MB/s Write 1550MB/s GP-GSM2NE3512GNTD,4,"$1,411.49 ",26-feb-19,Queretaro,"$5,645.95 "
N.P. DGS-1008A,Fisico,Conectividad,Switch D-link 8 puertos DGS-1008A 10/100/1000Mbps No Administrable DGS-1008A,2,$458.49 ,16-sep-19,CDMX,$916.98 
N.P. BX500G,Store Pickup,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,3,$528.28 ,26-dic-19,Queretaro,"$1,584.84 "
N.P. GP-GSM2NE3512GNTD,Fisico,Almacenamiento,Unidad de estado sólido SSD GIGABYTE GP-GSM2NE3512GNTD NVMe 512GB PCIe Gen3x4 M.2 2280 NVMe 2280 Read 1700MB/s Write 1550MB/s GP-GSM2NE3512GNTD,5,"$1,275.77 ",18-oct-19,Jalisco,"$6,378.84 "
N.P. DGE-528T,Fisico,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,4,$284.20 ,29-may-19,Chihuahua,"$1,136.80 "
N.P. GAC-121,Fisico,Energía,"Batería Portátil GHIA GAC-121 20,100mAH 2x USB Negro GAC-121",4,$606.32 ,20-mar-19,Nuevo Leon,"$2,425.28 "
N.P. 100-100000011WOF,En linea,Componentes,Procesador AMD RYZEN Threadripper 3970X 3.7GHz 24 núcleos Socket sTRX4 Sin Disipador 100-100000011WOF,4,"$42,689.79 ",10-jun-19,Nuevo Leon,"$170,759.16 "
N.P. GSP-15AP,Fisico,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",4,"$2,847.56 ",21-may-19,Yucatan,"$11,390.25 "
N.P. GAC-121,Fisico,Energía,"Batería Portátil GHIA GAC-121 20,100mAH 2x USB Negro GAC-121",2,$572.00 ,06-nov-19,Nuevo Leon,"$1,144.00 "
N.P. GAC-094,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Gris GAC-094,1,$79.44 ,27-dic-19,Nuevo Leon,$79.44 
N.P. GSP-15AP,Fisico,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",1,"$2,877.22 ",03-abr-19,Quintana Roo,"$2,877.22 "
N.P. GP-GSM2NE3512GNTD,Store Pickup,Almacenamiento,Unidad de estado sólido SSD GIGABYTE GP-GSM2NE3512GNTD NVMe 512GB PCIe Gen3x4 M.2 2280 NVMe 2280 Read 1700MB/s Write 1550MB/s GP-GSM2NE3512GNTD,3,"$1,425.06 ",02-abr-19,CDMX,"$4,275.18 "
N.P. MWP22AM/A,En linea,Sonido,Audífonos con micrófono Apple AirPods Pro Inalámbrico con estuche de carga Blanco MWP22AM/A,4,"$5,102.58 ",11-may-19,Nuevo Leon,"$20,410.33 "
N.P. X299X DESIGNARE 10G,Store Pickup,Componentes,Motherboard Gigabyte X299X DESIGNARE 10G Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X DESIGNARE 10G,3,"$14,666.11 ",05-feb-19,Chihuahua,"$43,998.34 "
N.P. GCV-003,En linea,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,5,$308.16 ,21-abr-19,Jalisco,"$1,540.80 "
N.P. GSB-011,En linea,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,3,"$1,157.76 ",19-may-19,Chihuahua,"$3,473.28 "
N.P. GAC-169,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,3,$83.78 ,07-dic-19,Queretaro,$251.33 
N.P. U2000,Store Pickup,Otros,Kit de Teclado y Mouse ASUS U2000 Estándar Negro U2000,4,$336.60 ,05-jun-19,Puebla,"$1,346.40 "
N.P. GV-N165SWF2OC-4GD,En linea,Video,Tarjeta de video GIGABYTE GeForce GTX1650 SUPER WINDFORCE OC 4G 4GB GDDR5 PCI Express GV-N165SWF2OC-4GD,5,"$4,524.39 ",15-oct-19,Queretaro,"$22,621.94 "
N.P. GAC-169,En linea,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,2,$95.61 ,28-dic-19,Queretaro,$191.23 
N.P. BX500B,En linea,Sonido,Bocina GHIA BX500B 10W Bluetooth / USB / Micro SD Negro BX500B,5,$556.38 ,04-sep-19,Nuevo Leon,"$2,781.90 "
N.P. GAC-094,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Gris GAC-094,1,$74.98 ,01-dic-19,Nuevo Leon,$74.98 
N.P. GP-GSM2NE3512GNTD,Store Pickup,Almacenamiento,Unidad de estado sólido SSD GIGABYTE GP-GSM2NE3512GNTD NVMe 512GB PCIe Gen3x4 M.2 2280 NVMe 2280 Read 1700MB/s Write 1550MB/s GP-GSM2NE3512GNTD,1,"$1,330.06 ",24-mar-19,Queretaro,"$1,330.06 "
N.P. GCV-003,Fisico,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,4,$346.68 ,07-dic-19,Chihuahua,"$1,386.72 "
N.P. X299X AORUS MASTER,Fisico,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,5,"$9,664.35 ",24-mar-19,Yucatan,"$48,321.75 "
N.P. DGE-528T,En linea,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,5,$295.57 ,22-abr-19,Quintana Roo,"$1,477.84 "
N.P. DGE-528T,Store Pickup,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,5,$261.46 ,18-abr-19,CDMX,"$1,307.32 "
N.P. GSB-011,Fisico,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,3,"$1,278.36 ",07-sep-19,CDMX,"$3,835.08 "
N.P. GAC-094,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Gris GAC-094,1,$70.53 ,09-nov-19,Jalisco,$70.53 
N.P. DGS-1008A,Fisico,Conectividad,Switch D-link 8 puertos DGS-1008A 10/100/1000Mbps No Administrable DGS-1008A,2,$488.07 ,24-may-19,Chihuahua,$976.14 
N.P. X299X AORUS MASTER,Fisico,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,1,"$10,783.38 ",29-ago-19,Quintana Roo,"$10,783.38 "
N.P. GCV-003,Fisico,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,3,$340.26 ,16-mar-19,Queretaro,"$1,020.78 "
N.P. X299X AORUS XTREME WF,Fisico,Componentes,Motherboard AORUS X299X XTREME WATERFORCE Socket LGA 2066 XL-ATX X299 USB 3.2 WiFi DDR4 X299X AORUS XTREME WF,4,"$39,271.57 ",25-abr-19,Quintana Roo,"$157,086.27 "
N.P. GCV-003,Store Pickup,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,3,$346.68 ,24-jul-19,Nuevo Leon,"$1,040.04 "
N.P. GAC-169,En linea,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,5,$95.61 ,29-nov-19,Queretaro,$478.07 
N.P. X299X AORUS MASTER,En linea,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,4,"$9,562.62 ",10-jul-19,Quintana Roo,"$38,250.48 "
N.P. GAC-094,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Gris GAC-094,5,$72.76 ,02-mar-19,Chihuahua,$363.78 
N.P. GSB-011,Store Pickup,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,1,"$1,193.94 ",28-oct-19,CDMX,"$1,193.94 "
N.P. BX500G,Store Pickup,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,3,$539.52 ,04-abr-19,Puebla,"$1,618.56 "
N.P. GAC-150,Store Pickup,Cables,Cable de datos GHIA USB Macho a Micro USB Macho 2m Negro GAC-150,1,$80.14 ,18-jul-19,Puebla,$80.14 
N.P. DGE-528T,Fisico,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,4,$275.67 ,21-ago-19,Jalisco,"$1,102.70 "
N.P. GAC-092,En linea,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Dorado GAC-092,3,$75.72 ,02-nov-19,Nuevo Leon,$227.17 
N.P. BX500G,Fisico,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,3,$550.76 ,07-sep-19,Queretaro,"$1,652.28 "
N.P. GAC-094,En linea,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Gris GAC-094,2,$74.24 ,07-jul-19,Quintana Roo,$148.48 
N.P. GSB-011,Fisico,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,2,"$1,266.30 ",04-may-19,Chihuahua,"$2,532.60 "
N.P. DGS-1008A,Fisico,Conectividad,Switch D-link 8 puertos DGS-1008A 10/100/1000Mbps No Administrable DGS-1008A,4,$502.86 ,22-nov-19,Puebla,"$2,011.44 "
N.P. 100-100000011WOF,Store Pickup,Componentes,Procesador AMD RYZEN Threadripper 3970X 3.7GHz 24 núcleos Socket sTRX4 Sin Disipador 100-100000011WOF,5,"$43,121.00 ",28-may-19,Quintana Roo,"$215,605.00 "
N.P. GSP-15AP,Fisico,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",5,"$2,995.87 ",12-feb-19,Queretaro,"$14,979.36 "
N.P. BX500B,Store Pickup,Sonido,Bocina GHIA BX500B 10W Bluetooth / USB / Micro SD Negro BX500B,4,$578.86 ,15-abr-19,CDMX,"$2,315.44 "
N.P. GP-GSM2NE3512GNTD,Fisico,Almacenamiento,Unidad de estado sólido SSD GIGABYTE GP-GSM2NE3512GNTD NVMe 512GB PCIe Gen3x4 M.2 2280 NVMe 2280 Read 1700MB/s Write 1550MB/s GP-GSM2NE3512GNTD,5,"$1,343.63 ",08-jun-19,Queretaro,"$6,718.14 "
N.P. GSB-011,Store Pickup,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,2,"$1,302.48 ",05-mar-19,Nuevo Leon,"$2,604.96 "
N.P. X299X AORUS MASTER,Fisico,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,1,"$10,478.19 ",07-feb-19,Nuevo Leon,"$10,478.19 "
N.P. GCV-003,En linea,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,3,$304.95 ,10-feb-19,Yucatan,$914.85 
N.P. BX500B,Store Pickup,Sonido,Bocina GHIA BX500B 10W Bluetooth / USB / Micro SD Negro BX500B,2,$578.86 ,23-feb-19,Yucatan,"$1,157.72 "
N.P. GAC-122,Store Pickup,Energía,"Batería Portátil GHIA GAC-122 10,050mAH 2x USB Negro GAC-122",3,$372.93 ,29-dic-19,Yucatan,"$1,118.79 "
N.P. X299X DESIGNARE 10G,En linea,Componentes,Motherboard Gigabyte X299X DESIGNARE 10G Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X DESIGNARE 10G,1,"$15,124.43 ",06-dic-19,Queretaro,"$15,124.43 "
N.P. ASD700-1TU31-CBK,En linea,Almacenamiento,Unidad de estado sólido SSD ADATA Portable SD700 1TB USB 3.1 Read 440MB/s Write 430MB/s Negro ASD700-1TU31-CBK,5,"$2,927.84 ",03-may-19,Yucatan,"$14,639.18 "
N.P. GAC-122,Fisico,Energía,"Batería Portátil GHIA GAC-122 10,050mAH 2x USB Negro GAC-122",3,$384.96 ,18-mar-19,Yucatan,"$1,154.88 "
N.P. GAC-169,En linea,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,4,$91.06 ,06-oct-19,Queretaro,$364.24 
N.P. DGS-1008A,En linea,Conectividad,Switch D-link 8 puertos DGS-1008A 10/100/1000Mbps No Administrable DGS-1008A,2,$512.72 ,08-dic-19,Chihuahua,"$1,025.44 "
N.P. MWP22AM/A,En linea,Sonido,Audífonos con micrófono Apple AirPods Pro Inalámbrico con estuche de carga Blanco MWP22AM/A,4,"$5,265.43 ",18-jul-19,CDMX,"$21,061.73 "
N.P. GSB-011,Fisico,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,1,"$1,206.00 ",18-feb-19,Puebla,"$1,206.00 "
N.P. X299X AORUS MASTER,En linea,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,3,"$10,579.92 ",10-nov-19,Yucatan,"$31,739.76 "
N.P. GAC-094,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Gris GAC-094,5,$69.79 ,05-mar-19,Jalisco,$348.93 
N.P. GAC-092,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Dorado GAC-092,1,$69.79 ,07-mar-19,Nuevo Leon,$69.79 
