SKU,Venta,Categoría,Producto,Cantidad,Precio,Fecha,Tienda,Total
N.P. GSP-15AP,En linea,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",1,"$3,114.52 ",20-feb-19,Puebla,"$3,114.52 "
N.P. GAC-092,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Dorado GAC-092,4,$77.95 ,15-abr-19,Chihuahua,$311.81 
N.P. X299X AORUS MASTER,Store Pickup,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,5,"$10,173.00 ",13-abr-19,Yucatan,"$50,865.00 "
N.P. GAC-092,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Dorado GAC-092,1,$69.79 ,29-jul-19,Chihuahua,$69.79 
N.P. 3MARMPRB.0001,Store Pickup,Otros,Silla Deportiva COUGAR Gaming ARMOR Pro Negro 3MARMPRB.0001,4,"$4,590.82 ",14-dic-19,Jalisco,"$18,363.26 "
N.P. DIR-878,Store Pickup,Conectividad,Router D-Link DIR-878 Wireless-AC1900 Dual Banda 2.4GHz / 5Ghz 1900Mb/s WiFi 1x Wan 4x Lan DIR-878,2,"$3,241.97 ",12-jun-19,Nuevo Leon,"$6,483.94 "
N.P. BX500G,Store Pickup,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,1,$601.34 ,11-abr-19,Jalisco,$601.34 
N.P. X299X AORUS MASTER,En linea,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,5,"$10,274.73 ",27-abr-19,CDMX,"$51,373.65 "
N.P. DGE-528T,Store Pickup,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,3,$287.04 ,11-oct-19,Yucatan,$861.13 
N.P. BX500G,Fisico,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,3,$578.86 ,08-feb-19,Puebla,"$1,736.58 "
N.P. GSP-15AP,Store Pickup,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",5,"$3,203.51 ",21-dic-19,Nuevo Leon,"$16,017.53 "
N.P. GV-N165SWF2OC-4GD,Store Pickup,Video,Tarjeta de video GIGABYTE GeForce GTX1650 SUPER WINDFORCE OC 4G 4GB GDDR5 PCI Express GV-N165SWF2OC-4GD,5,"$4,054.88 ",27-sep-19,Queretaro,"$20,274.38 "
N.P. 100-100000011WOF,Fisico,Componentes,Procesador AMD RYZEN Threadripper 3970X 3.7GHz 24 núcleos Socket sTRX4 Sin Disipador 100-100000011WOF,3,"$43,983.42 ",10-jul-19,Nuevo Leon,"$131,950.26 "
N.P. DGS-1008A,Store Pickup,Conectividad,Switch D-link 8 puertos DGS-1008A 10/100/1000Mbps No Administrable DGS-1008A,5,$507.79 ,22-oct-19,Chihuahua,"$2,538.95 "
N.P. BX500G,Fisico,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,5,$567.62 ,19-dic-19,Nuevo Leon,"$2,838.10 "
N.P. U2000,Fisico,Otros,Kit de Teclado y Mouse ASUS U2000 Estándar Negro U2000,5,$339.90 ,05-jul-19,Jalisco,"$1,699.50 "
N.P. GAC-121,En linea,Energía,"Batería Portátil GHIA GAC-121 20,100mAH 2x USB Negro GAC-121",3,$617.76 ,02-nov-19,Jalisco,"$1,853.28 "
N.P. X299X DESIGNARE 10G,Fisico,Componentes,Motherboard Gigabyte X299X DESIGNARE 10G Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X DESIGNARE 10G,5,"$14,818.88 ",31-may-19,Puebla,"$74,094.42 "
N.P. X299X AORUS MASTER,En linea,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,2,"$10,071.27 ",02-sep-19,Chihuahua,"$20,142.54 "
N.P. U2000,En linea,Otros,Kit de Teclado y Mouse ASUS U2000 Estándar Negro U2000,3,$303.60 ,17-ago-19,Queretaro,$910.80 
N.P. BX500G,Fisico,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,1,$556.38 ,19-mar-19,Queretaro,$556.38 
N.P. GAC-096,Store Pickup,Cables,Cable de datos GHIA USB Macho a Lightning / Micro USB Macho 1m Azul / Gris GAC-096,3,$53.84 ,29-oct-19,Yucatan,$161.51 
N.P. GAC-094,En linea,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Gris GAC-094,2,$71.27 ,07-feb-19,Yucatan,$142.54 
N.P. GAC-169,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,4,$93.79 ,27-nov-19,Quintana Roo,$375.17 
N.P. 3MARMPRB.0001,Store Pickup,Otros,Silla Deportiva COUGAR Gaming ARMOR Pro Negro 3MARMPRB.0001,3,"$5,016.77 ",11-jul-19,Chihuahua,"$15,050.30 "
N.P. 100-100000011WOF,Store Pickup,Componentes,Procesador AMD RYZEN Threadripper 3970X 3.7GHz 24 núcleos Socket sTRX4 Sin Disipador 100-100000011WOF,4,"$42,689.79 ",25-ago-19,CDMX,"$170,759.16 "
N.P. GAC-084,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Negro / Rojo GAC-084,1,$34.10 ,18-sep-19,Jalisco,$34.10 
N.P. GCV-003,Fisico,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,4,$317.79 ,04-dic-19,CDMX,"$1,271.16 "
N.P. BX500G,En linea,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,3,$562.00 ,09-nov-19,Nuevo Leon,"$1,686.00 "
N.P. 3MARMPRB.0001,Store Pickup,Otros,Silla Deportiva COUGAR Gaming ARMOR Pro Negro 3MARMPRB.0001,1,"$4,638.14 ",26-nov-19,Chihuahua,"$4,638.14 "
N.P. BX500G,En linea,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,4,$533.90 ,04-feb-19,Chihuahua,"$2,135.60 "
N.P. ASD700-1TU31-CBK,En linea,Almacenamiento,Unidad de estado sólido SSD ADATA Portable SD700 1TB USB 3.1 Read 440MB/s Write 430MB/s Negro ASD700-1TU31-CBK,4,"$2,900.22 ",15-dic-19,Yucatan,"$11,600.86 "
N.P. GV-N165SWF2OC-4GD,Store Pickup,Video,Tarjeta de video GIGABYTE GeForce GTX1650 SUPER WINDFORCE OC 4G 4GB GDDR5 PCI Express GV-N165SWF2OC-4GD,5,"$4,225.61 ",15-dic-19,Yucatan,"$21,128.04 "
N.P. X299X AORUS MASTER,En linea,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,5,"$9,969.54 ",01-sep-19,Queretaro,"$49,847.70 "
N.P. X299X AORUS XTREME WF,Fisico,Componentes,Motherboard AORUS X299X XTREME WATERFORCE Socket LGA 2066 XL-ATX X299 USB 3.2 WiFi DDR4 X299X AORUS XTREME WF,4,"$38,904.54 ",04-feb-19,Queretaro,"$155,618.18 "
N.P. DGE-528T,Store Pickup,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,1,$281.36 ,23-nov-19,Quintana Roo,$281.36 
N.P. DGE-528T,En linea,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,4,$304.09 ,19-may-19,Chihuahua,"$1,216.38 "
N.P. ASD700-1TU31-CBK,En linea,Almacenamiento,Unidad de estado sólido SSD ADATA Portable SD700 1TB USB 3.1 Read 440MB/s Write 430MB/s Negro ASD700-1TU31-CBK,1,"$2,624.00 ",21-jul-19,Puebla,"$2,624.00 "
N.P. BX500G,Fisico,Sonido,Bocina GHIA BX500G 10W Bluetooth / USB / Micro SD Gris BX500G,3,$533.90 ,01-abr-19,CDMX,"$1,601.70 "
N.P. GAC-096,Fisico,Cables,Cable de datos GHIA USB Macho a Lightning / Micro USB Macho 1m Azul / Gris GAC-096,2,$49.09 ,19-mar-19,Queretaro,$98.17 
N.P. GAC-122,En linea,Energía,"Batería Portátil GHIA GAC-122 10,050mAH 2x USB Negro GAC-122",3,$388.97 ,11-oct-19,Puebla,"$1,166.91 "
N.P. GAC-169,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,1,$93.79 ,09-sep-19,Yucatan,$93.79 
N.P. X299X AORUS MASTER,Fisico,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,2,"$9,664.35 ",28-nov-19,Nuevo Leon,"$19,328.70 "
N.P. GP-GSM2NE3512GNTD,En linea,Almacenamiento,Unidad de estado sólido SSD GIGABYTE GP-GSM2NE3512GNTD NVMe 512GB PCIe Gen3x4 M.2 2280 NVMe 2280 Read 1700MB/s Write 1550MB/s GP-GSM2NE3512GNTD,4,"$1,316.48 ",27-feb-19,CDMX,"$5,265.94 "
N.P. GCV-003,Fisico,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,3,$321.00 ,01-dic-19,Yucatan,$963.00 
N.P. GV-N165SWF2OC-4GD,Store Pickup,Video,Tarjeta de video GIGABYTE GeForce GTX1650 SUPER WINDFORCE OC 4G 4GB GDDR5 PCI Express GV-N165SWF2OC-4GD,3,"$4,310.97 ",02-mar-19,Jalisco,"$12,932.92 "
N.P. GAC-084,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Negro / Rojo GAC-084,3,$34.78 ,23-oct-19,Jalisco,$104.35 
N.P. DGE-528T,En linea,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,3,$284.20 ,19-mar-19,CDMX,$852.60 
N.P. GCV-003,Store Pickup,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,4,$311.37 ,09-may-19,CDMX,"$1,245.48 "
N.P. U2000,En linea,Otros,Kit de Teclado y Mouse ASUS U2000 Estándar Negro U2000,3,$320.10 ,23-oct-19,Chihuahua,$960.30 
N.P. GP-GSM2NE3512GNTD,Fisico,Almacenamiento,Unidad de estado sólido SSD GIGABYTE GP-GSM2NE3512GNTD NVMe 512GB PCIe Gen3x4 M.2 2280 NVMe 2280 Read 1700MB/s Write 1550MB/s GP-GSM2NE3512GNTD,5,"$1,275.77 ",14-abr-19,Yucatan,"$6,378.84 "
N.P. GAC-169,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,3,$86.51 ,03-oct-19,CDMX,$259.52 
N.P. X299X DESIGNARE 10G,Store Pickup,Componentes,Motherboard Gigabyte X299X DESIGNARE 10G Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X DESIGNARE 10G,4,"$14,513.34 ",09-sep-19,Jalisco,"$58,053.36 "
N.P. DGE-528T,Store Pickup,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,5,$261.46 ,11-nov-19,Jalisco,"$1,307.32 "
N.P. X299X AORUS XTREME WF,Store Pickup,Componentes,Motherboard AORUS X299X XTREME WATERFORCE Socket LGA 2066 XL-ATX X299 USB 3.2 WiFi DDR4 X299X AORUS XTREME WF,2,"$35,234.30 ",26-nov-19,Queretaro,"$70,468.61 "
N.P. DGE-528T,Store Pickup,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,5,$281.36 ,05-abr-19,Yucatan,"$1,406.79 "
N.P. MWP22AM/A,En linea,Sonido,Audífonos con micrófono Apple AirPods Pro Inalámbrico con estuche de carga Blanco MWP22AM/A,5,"$5,808.26 ",16-dic-19,Chihuahua,"$29,041.30 "
N.P. X299X AORUS MASTER,Fisico,Componentes,Motherboard AORUS X299X MASTER Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X AORUS MASTER,4,"$10,783.38 ",15-nov-19,Queretaro,"$43,133.52 "
N.P. GAC-122,En linea,Energía,"Batería Portátil GHIA GAC-122 10,050mAH 2x USB Negro GAC-122",3,$396.99 ,18-sep-19,Queretaro,"$1,190.97 "
N.P. GCV-003,En linea,video,Cámara Analógica GHIA GCV-003 Alámbrica tipo bala 1MP 720p Interior / Exterior Día / Noche Negro GCV-003,2,$314.58 ,11-dic-19,Quintana Roo,$629.16 
N.P. DGS-1008A,En linea,Conectividad,Switch D-link 8 puertos DGS-1008A 10/100/1000Mbps No Administrable DGS-1008A,1,$478.21 ,23-jun-19,Chihuahua,$478.21 
N.P. GAC-094,En linea,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Gris GAC-094,5,$68.30 ,23-nov-19,Yucatan,$341.50 
N.P. GP-GSM2NE3512GNTD,Store Pickup,Almacenamiento,Unidad de estado sólido SSD GIGABYTE GP-GSM2NE3512GNTD NVMe 512GB PCIe Gen3x4 M.2 2280 NVMe 2280 Read 1700MB/s Write 1550MB/s GP-GSM2NE3512GNTD,1,"$1,397.92 ",14-dic-19,Chihuahua,"$1,397.92 "
N.P. GAC-121,Fisico,Energía,"Batería Portátil GHIA GAC-121 20,100mAH 2x USB Negro GAC-121",2,$589.16 ,17-oct-19,Quintana Roo,"$1,178.32 "
N.P. GAC-150,Fisico,Cables,Cable de datos GHIA USB Macho a Micro USB Macho 2m Negro GAC-150,1,$85.26 ,31-oct-19,Yucatan,$85.26 
N.P. U2000,Fisico,Otros,Kit de Teclado y Mouse ASUS U2000 Estándar Negro U2000,4,$343.20 ,16-mar-19,Jalisco,"$1,372.80 "
N.P. GAC-084,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Negro / Rojo GAC-084,1,$32.03 ,18-ago-19,Yucatan,$32.03 
N.P. MWP22AM/A,Store Pickup,Sonido,Audífonos con micrófono Apple AirPods Pro Inalámbrico con estuche de carga Blanco MWP22AM/A,3,"$5,645.41 ",14-oct-19,Nuevo Leon,"$16,936.23 "
N.P. GSB-011,En linea,Sonido,Barra de sonido GHIA GSB-011 2.1 canales 60W Bluetooth / USB / 3.5mm Negro GSB-011,4,"$1,278.36 ",23-mar-19,Jalisco,"$5,113.44 "
N.P. GSP-15AP,Fisico,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",2,"$2,788.24 ",03-nov-19,Quintana Roo,"$5,576.47 "
N.P. DGE-528T,En linea,Conectividad,Tarjeta de red interna D-link DGE-528T 1 puerto Ethernet Gigabit PCI Express DGE-528T,3,$301.25 ,22-jun-19,Queretaro,$903.76 
N.P. MWP22AM/A,Fisico,Sonido,Audífonos con micrófono Apple AirPods Pro Inalámbrico con estuche de carga Blanco MWP22AM/A,3,"$4,994.02 ",17-abr-19,Nuevo Leon,"$14,982.05 "
N.P. X299X DESIGNARE 10G,Fisico,Componentes,Motherboard Gigabyte X299X DESIGNARE 10G Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X DESIGNARE 10G,4,"$14,818.88 ",20-dic-19,Yucatan,"$59,275.54 "
N.P. X299X DESIGNARE 10G,Fisico,Componentes,Motherboard Gigabyte X299X DESIGNARE 10G Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X DESIGNARE 10G,4,"$15,888.29 ",27-oct-19,CDMX,"$63,553.15 "
N.P. X299X AORUS XTREME WF,Fisico,Componentes,Motherboard AORUS X299X XTREME WATERFORCE Socket LGA 2066 XL-ATX X299 USB 3.2 WiFi DDR4 X299X AORUS XTREME WF,2,"$37,436.45 ",05-ago-19,CDMX,"$74,872.90 "
N.P. X299X AORUS XTREME WF,En linea,Componentes,Motherboard AORUS X299X XTREME WATERFORCE Socket LGA 2066 XL-ATX X299 USB 3.2 WiFi DDR4 X299X AORUS XTREME WF,3,"$37,069.42 ",23-dic-19,Puebla,"$111,208.27 "
N.P. GAC-092,Fisico,Cables,Cable de datos GHIA USB Macho a USB-C Macho 1m Dorado GAC-092,1,$77.21 ,24-jun-19,Queretaro,$77.21 
N.P. GAC-122,Fisico,Energía,"Batería Portátil GHIA GAC-122 10,050mAH 2x USB Negro GAC-122",1,$413.03 ,22-abr-19,Queretaro,$413.03 
N.P. GSP-15AP,Fisico,Sonido,"Bocina GHIA GSP-15AP 24,000W Bluetooth / USB / Micro SD Negro GSP-15AP",5,"$2,847.56 ",16-mar-19,CDMX,"$14,237.81 "
N.P. GAC-096,Store Pickup,Cables,Cable de datos GHIA USB Macho a Lightning / Micro USB Macho 1m Azul / Gris GAC-096,4,$49.09 ,11-jun-19,Puebla,$196.34 
N.P. GAC-169,Store Pickup,Cables,Cable de datos GHIA USB Macho a USB-C Macho 2m Negro GAC-169,4,$94.70 ,03-ago-19,Queretaro,$378.81 
N.P. GAC-150,En linea,Cables,Cable de datos GHIA USB Macho a Micro USB Macho 2m Negro GAC-150,5,$83.55 ,23-ago-19,CDMX,$417.77 
N.P. GV-N165SWF2OC-4GD,Store Pickup,Video,Tarjeta de video GIGABYTE GeForce GTX1650 SUPER WINDFORCE OC 4G 4GB GDDR5 PCI Express GV-N165SWF2OC-4GD,4,"$4,310.97 ",12-ago-19,Queretaro,"$17,243.89 "
N.P. X299X DESIGNARE 10G,Fisico,Componentes,Motherboard Gigabyte X299X DESIGNARE 10G Socket LGA 2066 E-ATX X299 USB 3.2 DDR4 X299X DESIGNARE 10G,1,"$14,818.88 ",21-feb-19,Queretaro,"$14,818.88 "
